机构号,柜员号,柜员流水号,交易码,交易名称,账号,交易金额,成功标志
009903,990103,99010300000003,5622,手机银行还款,800000014,2000.88,AAAAAAA
009901,990101,99010100000001,5600,消费,800000001,12.11,ACR0907
009903,990103,99010300000001,5622,手机银行还款,800000012,1000.00,AAAAAAA
009902,990102,99010200000001,5617,ATM取现,800000007,100.00,AAAAAAA
009901,990101,99010100000002,5600,消费,800000002,13.11,ACR0907
009902,990102,99010200000002,5617,ATM取现,800000008,200.00,AAAAAAA
009901,990101,99010100000003,5600,消费,800000003,14.11,ACR0907
009902,990102,99010200000003,5617,ATM取现,800000009,300.00,INT0001
009903,990103,99010300000002,5622,手机银行还款,800000013,1001.12,AAAAAAA
009901,990101,99010100000004,5600,消费,800000004,15.11,INT0001
009903,990103,99010300000004,5622,手机银行还款,800000015,3000.22,AAAAAAA
009901,990101,99010100000005,5600,消费,800000005,16.11,INT0001
009902,990102,99010200000004,5617,ATM取现,800000010,400.00,AAAAAAA
009903,990103,99010300000005,5622,手机银行还款,800000016,5000.00,INT0001
009902,990102,99010200000005,5617,ATM取现,800000011,500.00,INT0002
